episode;steps;reward;average
550;499;115.03020080681492;193.03642437104423
551;314;187.7487382362957;194.06100299075985
552;306;257.1964415434448;194.93918185573355
553;334;208.25307848826435;194.65188873100985
554;307;235.97945437961982;196.19497703131222
555;286;298.00307847361825;196.5325499171296
556;283;255.4068441198941;196.62517594319564
557;473;254.86401212318933;196.95441236165766
558;272;261.16920126632317;198.49317363440477
559;321;254.82794181769967;199.93860345671902
560;212;36.14740855718196;200.0335517427098
561;263;263.44353274246265;199.99243668253337
562;499;138.84326091653858;200.35454950604185
563;285;247.29149776695854;200.38957901123712
564;285;262.66125278981247;200.51063000128386
565;176;285.770594616875;200.22988654600886
566;343;228.44630990929824;201.65455808714208
567;375;293.36661148323844;202.0216263864369
568;499;144.68687160924202;200.62798062083417
569;446;238.0315465635791;200.248953151339
570;309;269.2219411721388;202.1447881571596
571;411;254.20287466982555;202.616762976073
572;184;-6.659078772798992;199.80673352082383
573;332;264.78551518768734;201.05355985191034
574;499;109.89705668149207;201.75713393185436
575;424;242.0969484804851;201.90672669031875
576;395;259.88039288924404;201.88374300538314
577;499;101.09585146028826;202.76193934960952
578;386;213.1411333297777;204.45765006653323
579;409;221.1814011089223;203.7859314829852
580;263;226.8724247753338;204.6691433377086
581;412;267.5294589081076;205.9731673554733
582;365;231.38704104535375;205.82998452784753
583;343;260.44652581656464;205.81523118195392
584;479;265.3294609606064;207.75867485121725
585;233;271.79109154222465;207.76515707772148
586;278;235.56040522962175;208.73781558613683
587;307;260.8512013074398;209.9792424567757
588;340;250.3632332893963;209.61396205200177
589;484;288.0404765267007;210.02547477059423
590;443;213.86779058655907;209.47496939589283
591;499;193.09453194283347;210.91786768181828
592;254;280.357615782833;212.5997757350728
593;396;243.0126729366051;212.6359060163486
594;499;113.18154757328787;211.37624976863236
595;193;266.69650910850646;211.482268855945
596;499;118.37482398363622;210.42079788401185
597;391;263.3758329053103;210.85817028977718
598;337;262.6221811384553;211.53408360674385
599;288;255.87334585546887;211.32691209979617
600;313;250.49521444921996;211.32826228936085
601;220;262.86819663752294;213.50959715749502
602;301;283.64598599841327;216.11134634554944
603;199;272.0977007535154;218.28116229402585
604;411;286.0605017050862;219.0872350067821
605;288;260.8776839806794;219.8753602595433
606;182;290.61563022166894;223.26828115470406
607;420;221.4397343056987;223.06926194290918
608;293;262.3433928773435;223.42048818566897
609;202;242.69582984745372;224.42252199507254
610;282;-143.33611989571986;220.24751380724865
611;191;264.6504204572626;222.33614855888075
612;233;264.00293107212383;223.51377297755957
613;337;261.26595824957514;225.0900658842455
614;183;270.8813542946673;225.47576047028815
615;222;275.29771917218125;226.79681541281593
616;266;212.58418782668332;226.24607259057834
617;308;291.9425781818002;226.4934311071326
618;216;268.57945788751965;226.260780347378
619;217;275.96159606542955;228.46565253121858
620;356;285.3100499054203;228.60614365177528
621;208;278.55659954350756;228.54017111194204
622;202;239.7806795555136;229.0043899742087
623;264;226.26306078813246;230.41043224712988
624;362;291.01598972670706;230.3609164847667
625;250;277.8022203535487;230.67569277154783
626;435;274.086121744502;231.20511865814626
627;206;292.76713329574693;233.90111170583086
628;412;309.8790145971248;235.9074352125965
629;428;268.82385360726846;235.87018127960738
630;382;232.9348178924129;235.76943805164493
631;223;271.318879650116;235.78788889708878
632;304;267.454637095641;236.1384286495806
633;323;254.4763023828928;236.0802244614043
634;452;272.8166429217943;235.9143224717385
635;499;-232.9940866702731;231.16973471595972
636;383;237.33905728542626;231.4745602035298
637;499;133.2710122449525;231.49238058776072
638;445;260.1667925773339;232.47153988374535
639;182;227.665543310131;232.19118136724626
640;411;233.1917909900569;231.96608143987277
641;468;259.8782322377818;231.74876185886495
642;401;237.87097286258;231.02444964923225
643;246;288.285203145467;231.4563749236349
644;358;256.221678423011;231.32330612330526
645;176;-179.83506601871818;227.3755896366274
646;83;-193.94843029452832;222.8448493264471
647;499;84.8915694711424;222.39211462716995
648;499;106.54780308750345;220.79980571924415
649;430;179.02177806006165;219.80469893492642
650;326;268.6758355709384;221.34115528256763
651;385;263.89542101018986;222.10262211030658
652;229;266.8650691587867;222.19930838646
653;383;266.1059188788553;222.7778367903659
654;393;247.16509245114426;222.88969317108115
655;248;269.26112280473365;222.60227361439237
656;272;249.80258895088014;222.54623106270222
657;430;226.0121960508226;222.2577129019785
658;262;253.37147397973814;222.17973562911266
659;245;267.19043484777404;222.30336055941336
660;260;254.91921660564876;224.49107863989803
661;306;284.3590851491254;224.70023416396467
662;413;281.3692533069813;226.12549408786907
663;499;61.179251478414166;224.26437162498365
664;414;273.3662289007867;224.3714213860934
665;252;297.4173661354326;224.48788910127897
666;209;284.3000347284087;225.04642634947007
667;354;287.78640905911084;224.9906243252288
668;296;250.9448430849412;226.05320403998576
669;235;203.05399456987172;225.7034285200487
670;171;58.4304994845038;223.59551410317235
671;308;249.6075969495894;223.54956132597002
672;499;180.26441150818906;225.4187962287799
673;395;209.25357936795092;224.86347687058256
674;209;247.97545845298444;226.24426088829748
675;375;234.70390688549193;226.17033047234747
676;341;229.75890564044724;225.86911559985955
677;212;301.66408278485943;227.87479791310525
